BUSINESS_ID,STORE_ID,RESTAURANT NAME,ADDRESS,INSTAGRAM HANDLE,REASONING
965,1026,Rocco's Tavern Express,"302 Main St, Oxford, MA 01540, USA",roccostavern,"No links available on website, instagram, google search"
1035,1110,U Sushi,"1393 Beacon Street, Brookline, MA 02446, USA",Not Available,"No links available on website, instagram, google search"
1061,1113,Alfredo's,"229 Brighton Avenue, Boston, MA 02134, USA",Not Available,"No links available on website, instagram, google search"
1134,1183,Antonio's Cucina Italiana,"288 Cambridge Street, Boston, MA 02114, USA",antonios_of_beacon_hill_,Google My Business had link to correct location. Address matches Instagram bio
1136,1185,Green House Kitchen,"435 Faneuil St, Boston, MA 02135, USA",Not Available,"No links available on website, instagram, google search"
1138,1187,Alexandria Pizza & Grill,"1252 Washington Street, Boston, MA 02118, USA",alexpizzama,"No links available on website, instagram, google search"
1167,267477,"Davio's Northern Italian Steakhouse (Arlington St, Boston)","75 Arlington St, Boston, MA 02116, USA",daviosrestaurant,Google My Business had link to correct location. Address matches Instagram bio
1179,1211,Oppa Sushi (Allston),"185 Harvard Avenue, Allston, MA 02134, USA",oppa.sushi,Google Search revelead URL. Link on bio matches
1181,1215,India Quality Restaurant,"484 Commonwealth Avenue, Boston, MA 02215, USA",indiaqualityma,Google My Business had link to correct location. Address matches Instagram bio
1182,1214,Punjab Palace,"109 Brighton Avenue, Allston, MA 02134, USA",punjabpalacema,Google My Business had link to correct location. Address matches Instagram bio
1184,1250,Douzo Modern Japanese Restaurant & Lounge,"131 Dartmouth Street, Boston, MA 02116, USA",douzosushi,Google My Business had link to correct location. Address matches Instagram bio
1191,1299,Thai Basil (Boston),"132 Newbury Street, Boston, MA 02116, USA",thaibasilonnewbury,Google My Business had link to correct location. Address matches Instagram bio
1194,347033,Joe's American Bar & Grill (Newbury St.),"181 Newbury St, Boston, MA 02116, USA",joesamerican,Google My Business had link to correct location. Address matches Instagram bio
1200,1226,Umai Sushi,"224 Newbury Street, Boston, MA 02116, USA",Not Available,"No links available on website, instagram, google search"
1208,1234,Grotto,"37 Bowdoin St, Boston, MA 02114, USA",grottorestaurant,Google My Business had link to correct location. Address matches Instagram bio
1212,5726,Artu (North End),"6 Prince Street, Boston, MA 02113, USA",artuboston,Google My Business had link to correct location. Address matches Instagram bio
1213,1240,The Paramount,"44 Charles Street, Boston, MA 02108, USA",paramountbeaconhill,Google My Business had link to correct location. Address matches Instagram bio
1215,1242,Anna's Taqueria (MGH),"242 Cambridge St, Boston, MA 02114, USA",annastaqueria,Google My Business had link to correct location. Address matches Instagram bio
1217,1243,Toro,"1704 Washington St, Boston, MA 02118, USA",toroboston,Google My Business had link to correct location. Address matches Instagram bio
